id;path;handler;method;extras;subcontext;category;order;url
1;/admin;Fisharebest\Webtrees\Http\RequestHandlers\ControlPanel;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren
2;/admin/check-now;Fisharebest\Webtrees\Http\RequestHandlers\CheckForNewVersionNow;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
3;/admin/broadcast/{to};Fisharebest\Webtrees\Http\RequestHandlers\BroadcastPage;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
4;/admin/broadcast/{to};Fisharebest\Webtrees\Http\RequestHandlers\BroadcastAction;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
5;/admin/clean;Fisharebest\Webtrees\Http\RequestHandlers\CleanDataFolder;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Webseite#Datenordner_bereinigen
6;/admin/delete-path;Fisharebest\Webtrees\Http\RequestHandlers\DeletePath;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
7;/admin/email;Fisharebest\Webtrees\Http\RequestHandlers\EmailPreferencesPage;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Webseite#E-Mail-Versand
8;/admin/email;Fisharebest\Webtrees\Http\RequestHandlers\EmailPreferencesAction;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
9;/admin/fix-level-0-media;Fisharebest\Webtrees\Http\RequestHandlers\FixLevel0MediaPage;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Multimedia#Medienobjekte_mit_Tatsachen_und_Ereignissen_verkn.C3.BCpfen
10;/admin/fix-level-0-media;Fisharebest\Webtrees\Http\RequestHandlers\FixLevel0MediaAction;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
11;/admin/fix-level-0-media-data;Fisharebest\Webtrees\Http\RequestHandlers\FixLevel0MediaData;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
12;/admin/information;Fisharebest\Webtrees\Http\RequestHandlers\PhpInformation;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Webseite#Server_Information
13;/admin/logs;Fisharebest\Webtrees\Http\RequestHandlers\SiteLogsPage;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Webseite#Webseitenprotokolle
14;/admin/logs;Fisharebest\Webtrees\Http\RequestHandlers\SiteLogsAction;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
15;/admin/logs-data;Fisharebest\Webtrees\Http\RequestHandlers\SiteLogsData;GET;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;Webtrees_Handbuch/Anleitung_für_Administratoren/Webseite#Webseitenprotokolle
16;/admin/logs-delete;Fisharebest\Webtrees\Http\RequestHandlers\SiteLogsDelete;POST;Fisharebest\Webtrees\Http\Middleware\AuthAdministrator;;standard;10;
